,Invocation,Computation,I/O
processing,3255.9800148010254,3221590.6643867493,20414.18405342102
parampreds,84437.54291534424,748781239.4411564,85139.52544975281
predmses,3540.1971340179443,149379.3215751648,60724.337577819824
minmse,3467.081069946289,2392.879009246826,669.6367168426514
trainfull,92360.56804656982,302707019.9174881,138478.29174041748
testfull,3372.391939163208,37223.740339279175,15191.572429656982
total,190433.76111984253,1054898845.9639549,320617.54796791077
