,Invocation,Computation,I/O
processing,3255.9800148010254,35520.81799507141,19232.336923599243
parampreds,84437.54291534424,529711.8089199066,2966.5020790100098
predmses,3540.1971340179443,346.06337547302246,8936.676263809204
minmse,3467.081069946289,55.043935775756836,397.03460121154785
trainfull,92360.56804656982,151142.25387573242,4388.74605178833
testfull,3372.391939163208,546.6368198394775,11502.451362609863
total,190433.76111984253,717322.6249217987,47423.7472820282
