,Invocation,Computation,I/O
processing,3255.9800148010254,35520.81799507141,19232.336923599243
parampreds,84437.54291534424,1577005.7229995728,8801.046810150146
predmses,3540.1971340179443,346.06337547302246,8936.676263809204
minmse,3467.081069946289,55.043935775756836,397.03460121154785
trainfull,92360.56804656982,453238.80672454834,12841.056146621704
testfull,3372.391939163208,546.6368198394775,11502.451362609863
total,190433.76111984253,2066713.0918502808,61710.60210800171
